Hot Sauce,Ingredients,SHU,Taste,Aroma,Looks,Heat,Label,Capsaicin?,Habanero?,Jalapeno?,Ghost?,Scorpion?,Carolina Reaper?,Cayenne?,Poblano?,Serrano?,Vinegar?,Water?,Oil?,Fruit?,Vegetable?,Sweetener?,Thickener?
Jack Daniel's BBQ Sauce - Extra Hot Habanero,"Water, Dextrose, Tomato Paste, Concentrated Raisin Juice, White Wine Vinegar, Concentrated Orange Juice, Salt, Concentrated Lemon Juice, Onion Puree, Habanero Chilli Powder (1%), Jack Daniel's Tennessee Whisky (1%), Modified Maize Starch, Colour (ammonia Caramel), Dates, Flavouring, Concentrated Tamarind Extract, Stabilizer (xanthan Gum), Preservative (potassium Sorbate), Chilli Powder",0,4.1,4.2,3.8,3.7,4.5,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1
Lucky Dog - Heat’s a Peach,"Peaches (Peaches, Water, Pear Juice From Concentrate), Cider Vinegar, Carrots, Water, Roasted Garlic, Sea Salt, Granulated Garlic, Powdered Onion, Trinidad Scorpion Peppers, Pepper",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
Salsa Huichol - Habanera,"Water, Chilipeppers, Habanero, Salt, Acetic Acid, Spices, Xanthan Gum, Sodium Benzoate",0,1.0,1.0,2.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bravado Spice - Creamy Herb &amp; Jalapeno,"Red Wine Vinegar, Jalapeño, Extra Virgin Olive Oil, Garlic, Italian Parsley, Sea Salt, Black Pepper, Red Pepper, Cilantro, Oregano",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
MasterFoods - Hot Chilli Sauce,"Water, Sugar, Mustard Seeds 4%, Acidity Regulator (acetic Acid), Chilli 3%, Salt, Paprika, Vegetable Gum (xanthan), Treacle, Natural Colour (paprika Oleoresin), Herbs And Spice Extracts.",0,3.0,3.3,4.0,3.4,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Ghost Scream - Original Hot Sauce,"Red Wine Vinegar, Fresh Onions, Water, Fresh Red Bell Peppers, Fresh Garlic, Fresh Ghost Peppers, Canola Oil, Salt, Natural Flavors, Spices, Xanthan Gum",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1
Arizona Gunslinger - Habanero &amp; Mango,"Mangoes, Water, Tomato Paste, Carrots, Onion, Distilled Vinegar, Habanero Peppers, Spices, Salt, EDTA, Sodium Benzoate, Potassium Sorbate",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Melinda's - Original Scotch Bonnet Pepper Sauce,"Scotch Bonnet Peppers, Fresh Carrots, Papayas, Salt, Lime Juice, Acetic Acid, Onion, Passion Fruit Juice, Citric Acid, Garlic",0,3.0,2.0,4.0,3.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Queen Majesty - Blue Point Toasted Lager Hot Sauce,"White Vinegar, Lemon Juice, Bell Peppers, Blue Point Toasted Lager (may Contain Traces Of Gluten), Celery, Shallots, Garlic, Orange Habanero, Olive Oil, Salt, Spices",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Vermont Pepper Works - Chocolate Chipotle,"Tomato Juice, Tomatoes, White Vinegar, Chipotle Chiles, Garlic, Pure Chocolate, Salt, Spices, Herbs.",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Yellowbird Sauce - Blue Agave Sriracha,"Ripe Red Jalapeños, Organic Blue Agave Nectar, Organic Distilled Vinegar, Garlic, Salt, Tangerine Juice Concentrate, Lime Juice Concentrate, Organic Guar Gum",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Bee Sting Honey n' Habanero Pepper Sauce,"Corn Syrup, Water, Honey, Carrots, Cane Vinegar, Sugar, Corn Starch, Habanero Peppers, Onion, Lemon Juice, Cayenne Peppers, Salt, Garlic, Black Pepper, Ascorbic Acid (vitamin C), 1% Sodium Benzoate As A Preservative",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0
Vermont Pepper - Roasted Garlic &amp; Carrot Cayenne,"Carrots, Chile Peppers, Filtered Water, Distilled Vinegar, Fresh Garlic, And Dried Onion",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Jersey Barnfire - Indian Summer,"Mustard (distilled Vinegar, Water, Mustard Seed, Salt, Turmeric, Paprika, Spice, Natural Flavors, Garlic Powder), Brown Sugar, Mango, Apple Cider Vinegar, Scotch Bonnet Mash (scotch Bonnet Peppers, Vinegar), Worcestershire Sauce (distilled White Vinegar, Molasses, Sugar, Water, Salt, Onions, Anchovies, Garlic, Cloves, Tamarind Extract, Natural Flavorings, Chili Pepper Extract), Curry Powder, Salt

",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Dave's Roasted Garlic Hot Sauce,"Red Tabasco Pepper Pulp, Salt, Roasted Garlic, Vinegar",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vermont Pepper - Hempin’ Jalapeno Hot Sauce,"Jalapeno Peppers, Fresh Tomatillos, Cider Vinegar, Onions, Garlic, Hulled Hemp Seed, Key Lime Juice, Sea Salt, Spinach, Spices, Herbs.",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Hell's Kitchen Hot Sauce - Rockin' Rasta,"Scotch Bonnet Peppers, Carrots, Honey, Garlic, Coconut Milk, Vinegar, Salt, Lime Juice, Mango, Spices",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Mad Dog - Liquid Fire,"Red Wine Vinegar, Tomatoes, Garlic, Peri Peri Peppers, Jalapeno Peppers, Onion, Unsulphured Molasses, Herbs, Spices, Concentrated Pepper Extract, Salt, Xanthan Gum",0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
Vermont Pepper Works - Peach Ginger Habenero,"Peaches, White Vinegar, Orange Juice, Organic Carrots, Onions, Ginger, Habanero Peppers, Garlic, Pineapple Juice, Organic Sugar, Lime Juice, Lemon Grass",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Hellfire Hot Sauce - Ritual,"Distilled Vinegar, Mandarin Oranges, Mangoes, Trinidad Scorpion Pepper Mash, Red 7 Pot Primo Pepper Mash, Ornage Habanero Pepper Mash, Papaya, Pineapple, Spiced Rum, Peaches, Pure Cane Sugar, Garlic, Light Brown Sugar, All Spice, Vanilla Extract, Cinnamon, Curry Powder, Ginger, Cloves, Cumin",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
Melinda's - Garlic Habanero Pepper Sauce,"Fresh Carrots, Choice Red Habanero Peppers, Garlic, Onions, Lime Juice, Vinegar, Salt",0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
